wdid,name,wdLabel,gender,dob,dobPrecision,source,sourceDate,pid,position,start,psid
Q55761307,Mr. Fawad Ahmed,Fawad Ahmed Chaudhry,male,1950-01-01,7,http://www.na.gov.pk/en/fmins_list.php,2021-11-26,Q6866210,Information and Broadcasting,2021-04-14,Q55761307-4B945AF9-A72B-42E7-9E0D-9F955D71E7F3
Q55819278,Syed Amin Ul Haque,Syed Amin Haque,male,,,http://www.na.gov.pk/en/fmins_list.php,2021-11-26,Q109748844,Information Technology & Telecom,2020-04-06,Q55819278-ACE2242B-FF77-444C-A407-F2260A2AC790
Q5995130,Mr. Ijaz Ahmad Shah,Ijaz Ahmed Shah,male,1954-01-01,9,http://www.na.gov.pk/en/fmins_list.php,2021-11-26,Q109748941,Narcotics Control,2020-12-11,Q5995130-BA25AC11-D40B-4EAE-B202-B83D71A8C039
Q6907814,Mr. Moonis Elahi,Moonis Elahi,male,1976-04-12,11,http://www.na.gov.pk/en/fmins_list.php,2021-11-26,Q109748959,Water Resources,2021-07-13,Q6907814-74211F5E-6263-455C-AE06-EAD4114BBC26
Q7089644,Mr. Omar Ayub Khan,Omar Ayub Khan,male,1970-01-26,11,http://www.na.gov.pk/en/fmins_list.php,2021-11-26,Q109748787,Economic Affairs,2021-04-17,Q7089644-F893CD6C-4E71-4112-969C-E9379CE32699
Q7461074,Mr. Shafqat Mahmood,Shafqat Mahmood,male,1950-02-19,11,http://www.na.gov.pk/en/fmins_list.php,2022-01-02,Q6865797,"Federal Education, Professional Training, National Heritage and Culture",2018-08-20,Q7461074-A74C50BF-3E9E-4F07-BFAC-78A0C3BDF06F
Q7461074,Shafqat Mahmood,Shafqat Mahmood,male,1950-02-19,11,,,Q109748832,Federal Minister of National Heritage and Culture,2018-08-20,Q7461074-FD99F342-01F9-4D5E-942C-4F2B3E08C25A
Q7462429,Sheikh Rashid Ahmed,Sheikh Rasheed Ahmed,male,1950-11-06,11,http://www.na.gov.pk/en/fmins_list.php,2021-11-26,Q109748850,Interior,2020-12-11,Q7462429-94B138BB-637F-4C45-9767-0C2219D6EEAC
Q7490770,Mr. Shaukat Fayaz Ahmed Tarin,Shaukat Tarin,male,1953-01-01,9,http://www.na.gov.pk/en/fmins_list.php,2022-01-02,Q5449546,Finance and Revenue,2021-12-27,Q7490770-B74265AB-F80D-43BB-8E70-2CD40D0DC399
Q7498535,Dr. Shireen M. Mazari,Shireen M. Mazari,female,2000-01-01,7,http://www.na.gov.pk/en/fmins_list.php,2021-11-26,Q109748842,Human Rights,2018-08-20,Q7498535-6F77B314-25C4-4A43-B56A-73F4D8F61B8D
Q8074907,Ms. Zubaida Jalal,Zubaida Jalal,female,1959-08-31,11,http://www.na.gov.pk/en/fmins_list.php,2021-11-26,Q109748534,Defence Production,2018-08-20,Q8074907-F4B59A1A-45DB-4126-BBE9-DB2F628FF92D
